ID Giao dịch,Ngày tạo,Loại giao dịch,Vai trò,Nội dung,Số tiền (VNĐ),Điểm,Trạng thái,Nhóm
197,Mon Aug 25 2025 13:54:58 GMT+0700 (Indochina Time),Giao lịch,Gửi,600k,600000.00,1.0000,hoan_thanh,Nhóm Xe Sân Bay
198,Mon Aug 25 2025 13:54:58 GMT+0700 (Indochina Time),Nhận lịch,Nhận,Nhận lịch: 600k,-600000.00,-1.0000,hoan_thanh,Nhóm Xe Sân Bay
